movie_id,title,production_year,votes,vote_mean,vote_sd,theat_gross_dollars,theat_last_date,role,count,count_male,mean_male,wmean_male,mean_age,wmean_age,count_female,status,bechdel_id,imdbid,year,bechdel_title,bechdel_test
138785,Chicago,2002,169677,6.88,2.386,170687518,2003-09-04,actsin,55,30,0.545454545454545,0.514188882535748,36.1818181818182,35.6572936446907,25,mixed,179,0299658,2002,Chicago,3
138785,Chicago,2002,169677,6.88,2.386,170687518,2003-09-04,director,1,1,1,1,42,42,0,all male,179,0299658,2002,Chicago,3
138785,Chicago,2002,169677,6.88,2.386,170687518,2003-09-04,writer,3,3,1,1,65.3333333333333,59.3898133532817,0,all male,179,0299658,2002,Chicago,3
139046,Chicken Run,2000,137981,6.41,2.167,106834564,2016-08-02,actsin,11,5,0.454545454545455,0.553948354652069,42.2727272727273,41.9207075631229,6,mixed,687,0120630,2000,Chicken Run,3
139046,Chicken Run,2000,137981,6.41,2.167,106834564,2016-08-02,director,2,2,1,1,44.5,44.5,0,all male,687,0120630,2000,Chicken Run,3
139046,Chicken Run,2000,137981,6.41,2.167,106834564,2016-08-02,writer,3,3,1,1,42.3333333333333,47,0,all male,687,0120630,2000,Chicken Run,3
139130,Chico & Rita,2010,6653,6.63,2.195,350524,2016-08-02,actsin,8,4,0.5,0.372391367717681,46.25,45.0307661427492,4,mixed,1831,1235830,2010,Chico & Rita,2
139130,Chico & Rita,2010,6653,6.63,2.195,350524,2016-08-02,director,1,1,1,1,55,55,0,all male,1831,1235830,2010,Chico & Rita,2
139130,Chico & Rita,2010,6653,6.63,2.195,350524,2016-08-02,writer,2,2,1,1,52.5,52.5,0,all male,1831,1235830,2010,Chico & Rita,2
139660,Child 44,2015,38156,6.05,2.121,1206135,2015-05-10,actsin,42,30,0.714285714285714,0.813169353778791,44.1904761904762,41.8697547451576,12,mixed,6354,1014763,2015,Child 44,2
139660,Child 44,2015,38156,6.05,2.121,1206135,2015-05-10,director,1,1,1,1,38,38,0,all male,6354,1014763,2015,Child 44,2
139660,Child 44,2015,38156,6.05,2.121,1206135,2015-05-10,writer,1,1,1,1,66,66,0,all male,6354,1014763,2015,Child 44,2
139731,Child's Play,1988,60776,6.05,2.121,33244684,2016-08-02,actsin,17,15,0.882352941176471,0.707905264477959,31.2352941176471,34.1417094430995,2,mixed,4705,0094862,1988,Child's Play,3
139731,Child's Play,1988,60776,6.05,2.121,33244684,2016-08-02,director,1,1,1,1,45,45,0,all male,4705,0094862,1988,Child's Play,3
139731,Child's Play,1988,60776,6.05,2.121,33244684,2016-08-02,writer,3,3,1,1,31.6666666666667,25,0,all male,4705,0094862,1988,Child's Play,3
