movie_id,title,production_year,votes,vote_mean,vote_sd,theat_gross_dollars,theat_last_date,role,count,count_male,mean_male,wmean_male,mean_age,wmean_age,count_female,status,bechdel_id,imdbid,year,bechdel_title,bechdel_test
155089,Congo,1995,33947,5.45,2.156,81022101,2016-08-02,actsin,28,25,0.892857142857143,0.697063079104863,43.3928571428571,41.1654983157316,3,mixed,4902,0112715,1995,Congo,0
155089,Congo,1995,33947,5.45,2.156,81022101,2016-08-02,director,1,1,1,1,49,49,0,all male,4902,0112715,1995,Congo,0
155089,Congo,1995,33947,5.45,2.156,81022101,2016-08-02,writer,2,2,1,1,49,49.4600533278045,0,all male,4902,0112715,1995,Congo,0
155335,Connie and Carla,2004,6736,6.41,2.406,8054280,2004-05-30,actsin,27,18,0.666666666666667,0.660726052055945,39.3703703703704,40.3608390654263,9,mixed,4059,0345074,2004,Connie and Carla,3
155335,Connie and Carla,2004,6736,6.41,2.406,8054280,2004-05-30,director,1,1,1,1,56,56,0,all male,4059,0345074,2004,Connie and Carla,3
155335,Connie and Carla,2004,6736,6.41,2.406,8054280,2004-05-30,writer,1,0,0,0,42,42,1,all female,4059,0345074,2004,Connie and Carla,3
155674,Conspiracy Theory,1997,74936,6.23,2.109,76081498,2016-08-02,actsin,46,40,0.869565217391304,0.807542461805546,44.304347826087,44.1241761117616,6,mixed,318,0118883,1997,Conspiracy Theory,2
155674,Conspiracy Theory,1997,74936,6.23,2.109,76081498,2016-08-02,director,1,1,1,1,67,67,0,all male,318,0118883,1997,Conspiracy Theory,2
155674,Conspiracy Theory,1997,74936,6.23,2.109,76081498,2016-08-02,writer,1,1,1,1,36,36,0,all male,318,0118883,1997,Conspiracy Theory,2
155713,Constantine,2005,231958,6.35,2.264,75976178,2005-06-16,actsin,32,22,0.6875,0.612350790330717,35.78125,36.9100504336257,10,mixed,3697,0360486,2005,Constantine,1
155713,Constantine,2005,231958,6.35,2.264,75976178,2005-06-16,director,1,1,1,1,34,34,0,all male,3697,0360486,2005,Constantine,1
155713,Constantine,2005,231958,6.35,2.264,75976178,2005-06-16,writer,1,1,1,1,35,35,0,all male,3697,0360486,2005,Constantine,1
155880,Contact,1997,196927,6.88,2.386,100920329,2016-08-02,actsin,71,59,0.830985915492958,0.58789923931985,46.9295774647887,33.1378319846976,12,mixed,904,0118884,1997,Contact,3
155880,Contact,1997,196927,6.88,2.386,100920329,2016-08-02,director,1,1,1,1,45,45,0,all male,904,0118884,1997,Contact,3
155880,Contact,1997,196927,6.88,2.386,100920329,2016-08-02,writer,4,3,0.75,0.999999999975984,52.75,52.2724273510706,1,mixed,904,0118884,1997,Contact,3
155940,Contagion,2011,178036,6.23,2.109,75658097,2011-12-15,actsin,54,41,0.759259259259259,0.428440506357564,40.537037037037,35.1367526235777,13,mixed,2673,1598778,2011,Contagion,3
155940,Contagion,2011,178036,6.23,2.109,75658097,2011-12-15,director,1,1,1,1,48,48,0,all male,2673,1598778,2011,Contagion,3
156271,Contraband,2012,100910,6.13,2.048,66528000,2012-03-15,actsin,24,22,0.916666666666667,0.824012181842446,40.375,38.5331049594937,2,mixed,3979,1524137,2012,Contraband,3
156271,Contraband,2012,100910,6.13,2.048,66528000,2012-03-15,director,1,1,1,1,46,46,0,all male,3979,1524137,2012,Contraband,3
156271,Contraband,2012,100910,6.13,2.048,66528000,2012-03-15,writer,1,1,1,1,49,49,0,all male,3979,1524137,2012,Contraband,3
156311,Contracted,2013,9821,5.55,2.156,4105,2016-08-02,actsin,8,5,0.625,0.326308652250475,36.75,37.0545496368438,3,mixed,5400,2281159,2013,Contracted,3
